Unnamed: 0,disease,workout
52,Amblyopia,Consume nutrient-rich foods
53,Amblyopia,Stay hydrated
54,Amblyopia,Include healthy fats
55,Amblyopia,Avoid raw or undercooked foods
56,Amblyopia,Limit sugary foods and beverages
57,Amblyopia,Consume immune-boosting foods
58,Amblyopia,Take prescribed supplements
59,Amblyopia,Consult a healthcare professional
60,Astigmatism,Monitor carbohydrate intake
61,Astigmatism,Eat balanced meals
62,Astigmatism,Include lean proteins
63,Astigmatism,Consume high-fiber foods
64,Astigmatism,Stay hydrated
65,Astigmatism,Limit sugary foods and beverages
66,Astigmatism,Include healthy fats
67,Astigmatism,Monitor blood sugar levels
68,Astigmatism,Consult a registered dietitian
69,Astigmatism,Take prescribed medications as directed
70,Presbyopia,Stay hydrated
71,Presbyopia,Consume clear fluids
72,Presbyopia,Follow the BRAT diet (bananas, rice, applesauce, toast)
73,Presbyopia,Include bland foods
74,Presbyopia,Avoid fatty and greasy foods
75,Presbyopia,Limit caffeine and alcohol
76,Presbyopia,Avoid spicy foods
77,Presbyopia,Consult a healthcare professional
78,Presbyopia,Gradually reintroduce solid foods
79,Presbyopia,Avoid dairy products
80,Night_blindness,Include anti-inflammatory foods
81,Night_blindness,Consume omega-3 fatty acids
82,Night_blindness,Limit sodium intake
83,Night_blindness,Stay hydrated
84,Night_blindness,Include antioxidant-rich foods
85,Night_blindness,Avoid sulfite-containing foods
86,Night_blindness,Limit processed foods
87,Night_blindness,Consume magnesium-rich foods
88,Night_blindness,Consult a healthcare professional
89,Night_blindness,Avoid trigger foods
90,Ocular_migraines,Follow the DASH diet (Dietary Approaches to Stop Hypertension)
91,Ocular_migraines,Limit sodium intake
92,Ocular_migraines,Include potassium-rich foods
93,Ocular_migraines,Stay hydrated
94,Ocular_migraines,Consume calcium-rich foods
95,Ocular_migraines,Limit alcohol consumption
96,Ocular_migraines,Include magnesium-rich foods
97,Ocular_migraines,Consume omega-3 fatty acids
98,Ocular_migraines,Limit processed foods
99,Ocular_migraines,Consult a healthcare professional
100,Retinitis_pigmentosa,Identify and avoid trigger foods
101,Retinitis_pigmentosa,Stay hydrated
102,Retinitis_pigmentosa,Include magnesium-rich foods
103,Retinitis_pigmentosa,Consume omega-3 fatty acids
104,Retinitis_pigmentosa,Limit caffeine and alcohol
105,Retinitis_pigmentosa,Consume riboflavin-rich foods
106,Retinitis_pigmentosa,Limit processed foods
107,Retinitis_pigmentosa,Maintain regular meal times
108,Retinitis_pigmentosa,Consult a healthcare professional
109,Retinitis_pigmentosa,Manage stress
110,Uveitis,Include anti-inflammatory foods
111,Uveitis,Consume omega-3 fatty acids
112,Uveitis,Limit sodium intake
113,Uveitis,Stay hydrated
114,Uveitis,Include antioxidant-rich foods
115,Uveitis,Avoid sulfite-containing foods
116,Uveitis,Limit processed foods
117,Uveitis,Consume magnesium-rich foods
118,Uveitis,Consult a healthcare professional
119,Uveitis,Avoid trigger foods
120,Glaucoma,Follow the DASH diet (Dietary Approaches to Stop Hypertension)
121,Glaucoma,Limit sodium intake
122,Glaucoma,Include potassium-rich foods
123,Glaucoma,Stay hydrated
124,Glaucoma,Consume calcium-rich foods
125,Glaucoma,Limit alcohol consumption
126,Glaucoma,Include magnesium-rich foods
127,Glaucoma,Consume omega-3 fatty acids
128,Glaucoma,Limit processed foods
129,Glaucoma,Consult a healthcare professional
130,Color_blindness,Identify and avoid trigger foods
131,Color_blindness,Stay hydrated
132,Color_blindness,Include magnesium-rich foods
133,Color_blindness,Consume omega-3 fatty acids
134,Color_blindness,Limit caffeine and alcohol
135,Color_blindness,Consume riboflavin-rich foods
136,Color_blindness,Limit processed foods
137,Color_blindness,Maintain regular meal times
138,Color_blindness,Consult a healthcare professional
139,Color_blindness,Manage stress
140,Cataracts,Include anti-inflammatory foods
141,Cataracts,Consume omega-3 fatty acids
142,Cataracts,Include vitamin D-rich foods
143,Cataracts,Stay hydrated
144,Cataracts,Consume antioxidant-rich foods
145,Cataracts,Limit processed foods
146,Cataracts,Include lean proteins
147,Cataracts,Practice good posture
148,Cataracts,Consult a healthcare professional
149,Cataracts,Engage in regular exercise
150,Night_blindness,Identify and avoid trigger foods
151,Night_blindness,Stay hydrated
152,Night_blindness,Include magnesium-rich foods
153,Night_blindness,Consume omega-3 fatty acids
154,Night_blindness,Limit caffeine and alcohol
155,Night_blindness,Consume riboflavin-rich foods
156,Night_blindness,Limit processed foods
157,Night_blindness,Maintain regular meal times
158,Night_blindness,Consult a healthcare professional
159,Night_blindness,Manage stress
